adjusted_gross_income_size_and_zipcode,returns,number_of_exemptions_total,number_of_exemptions_dependent_exemptions,adjusted_gross_income,salaries_and_wages_number_of_returns,salaries_and_wages_amount,taxable_interest_number_of_returns,taxable_interest_amount,total_tax_number_of_returns,total_tax_amount,contributions_number_of_returns,contributions_amount,schedule_c_number_of_returns,schedule_f_number_of_returns,schedule_a_deductions_number_of_returns
,(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),(13),(14),(15)
WASHINGTON,"2,703,479","5,337,713","1,672,537","134,367,193","2,282,649","100,777,215","1,422,652","3,485,387","2,095,713","18,640,917","822,736","2,708,661","363,951","26,775","973,409"
"Under $10,000        ","469,187","453,477","106,412","511,408","356,927","1,987,368","157,169","333,740","124,221","27,396","12,742","14,797","51,580","4,459","29,635"
"$10,000 under $25,000","626,934","1,033,228","295,978","10,819,477","496,615","7,971,836","225,009","373,936","437,258","411,808","58,368","99,571","64,584","4,499","79,802"
"$25,000 under $50,000","710,420","1,436,638","452,160","25,820,563","620,100","20,739,445","347,366","525,712","643,965","1,904,281","182,988","324,289","89,107","6,254","231,371"
"$50,000 or more      ","896,938","2,414,370","817,987","97,215,745","809,007","70,078,566","693,108","2,251,999","890,269","16,297,432","568,638","2,270,004","158,680","11,563","632,601"
,,,,,,,,,,,,,,,
98000,18,25,5,800,14,659,**,**,12,121,**,**,**,--,**
"Under $10,000        ",**,**,**,**,**,**,**,**,**,**,**,**,--,--,**
"$10,000 under $25,000",*       18,*       25,*        5,*        800,*       14,*        659,**,**,*       12,*        121,--,--,**,--,**
"$25,000 under $50,000",**,**,**,**,**,**,**,**,**,**,**,**,--,--,**
"$50,000 or more      ",**,**,**,**,**,**,**,**,**,**,**,**,--,--,**
,,,,,,,,,,,,,,,
98001,"11,622","24,605","8,461","586,669","10,297","478,798","6,251","7,194","9,304","69,287","4,723","11,635","1,628",26,"5,433"
"Under $10,000        ","1,866","1,381",307,"7,009","1,523","7,704",531,413,545,124,33,23,194,**,86
"$10,000 under $25,000","2,133","3,540","1,077","37,014","1,700","27,158",725,811,"1,493","1,403",243,380,268,*       11,331
"$25,000 under $50,000","2,877","6,155","2,169","106,200","2,549","86,829","1,400","1,403","2,551","7,251","1,018","1,634",410,**,"1,257"
"$50,000 or more      ","4,746","13,529","4,908","436,446","4,525","357,107","3,595","4,567","4,715","60,509","3,429","9,598",756,15,"3,759"
,,,,,,,,,,,,,,,
98002,"12,956","24,754","8,009","466,384","11,158","367,835","5,005","9,236","9,776","47,572","2,761","6,161","1,160",15,"3,296"
"Under $10,000        ","2,160","2,411",613,"10,537","1,717","8,935",474,555,498,76,44,49,185,**,81
"$10,000 under $25,000","3,676","6,362","2,086","64,268","2,946","48,020","1,018","1,775","2,525","2,465",254,387,265,**,342
"$25,000 under $50,000","4,167","8,292","2,782","148,818","3,776","125,726","1,572","1,902","3,818","11,300",852,"1,276",347,*       15,"1,066"
"$50,000 or more      ","2,953","7,689","2,528","242,761","2,719","185,154","1,941","5,004","2,935","33,731","1,611","4,449",363,**,"1,807"
,,,,,,,,,,,,,,,
98003,"17,535","34,308","11,341","724,073","15,290","580,194","7,480","11,889","13,447","83,200","4,675","11,380","1,952",27,"5,489"
"Under $10,000        ","2,861","3,187",877,"4,652","2,248","12,786",728,786,708,129,74,83,285,*       11,145
"$10,000 under $25,000","4,443","7,677","2,526","77,726","3,654","59,634","1,240","1,743","3,020","2,924",335,603,435,**,448
"$25,000 under $50,000","5,302","10,399","3,465","190,716","4,831","163,613","2,053","2,104","4,823","14,315","1,230","2,153",508,**,"1,530"
"$50,000 or more      ","4,929","13,045","4,473","450,979","4,557","344,161","3,459","7,256","4,896","65,832","3,036","8,541",724,16,"3,366"
,,,,,,,,,,,,,,,
98004,"12,470","21,353","4,894","1,635,547","9,133","902,222","8,628","65,974","10,361","371,724","4,891","60,197","2,056",43,"5,523"
"Under $10,000        ","1,941","1,529",235,"-35,810","1,083","7,652","1,024","8,823",507,218,106,101,246,**,254
"$10,000 under $25,000","1,854","2,367",324,"32,402","1,241","20,231","1,015","2,480","1,432","1,485",330,665,266,**,407
"$25,000 under $50,000","2,727","3,922",624,"100,392","2,131","72,323","1,577","4,458","2,551","9,060",680,"1,602",344,**,807
"$50,000 or more      ","5,948","13,535","3,711","1,538,563","4,678","802,016","5,012","50,213","5,871","360,961","3,775","57,829","1,200",*       43,"4,055"
,,,,,,,,,,,,,,,
98005,"8,684","15,299","3,733","777,400","7,061","577,759","5,645","22,085","7,234","168,778","3,160","17,607","1,316",20,"3,621"
"Under $10,000        ","1,352","1,105",178,"-13,837",902,"7,667",640,"3,203",388,125,71,60,151,**,163
"$10,000 under $25,000","1,317","1,821",330,"22,831",982,"15,893",605,"1,061",977,969,177,287,187,--,241
"$25,000 under $50,000","2,087","3,154",574,"76,588","1,787","60,724","1,122","1,907","1,975","6,813",482,975,249,**,587
"$50,000 or more      ","3,928","9,219","2,651","691,818","3,390","493,475","3,278","15,914","3,894","160,871","2,430","16,285",729,*       20,"2,630"
,,,,,,,,,,,,,,,
98006,"16,708","34,357","10,842","1,645,005","13,420","1,213,145","12,167","42,036","13,720","343,039","7,819","36,064","2,736",25,"8,629"
"Under $10,000        ","2,918","1,898",347,"-15,952","1,904","12,300","1,465","3,156",882,197,101,115,258,**,241
"$10,000 under $25,000","2,096","2,864",548,"36,209","1,464","23,526","1,101","2,105","1,519","1,515",319,552,274,**,438
"$25,000 under $50,000","2,933","5,167","1,300","108,105","2,346","78,561","1,863","3,808","2,645","8,538",943,"1,839",440,--,"1,109"
"$50,000 or more      ","8,761","24,428","8,647","1,516,643","7,706","1,098,758","7,738","32,967","8,674","332,789","6,456","33,558","1,764",*       25,"6,841"
,,,,,,,,,,,,,,,
98007,"11,084","19,651","5,162","633,103","9,524","506,658","6,075","12,033","9,005","106,522","2,538","8,669","1,205",15,"3,011"
"Under $10,000        ","1,623","1,562",309,"4,638","1,196","6,368",549,559,401,66,51,48,191,**,104
"$10,000 under $25,000","2,377","3,765",999,"41,862","1,957","32,252",885,"1,366","1,735","1,754",229,336,266,**,305
"$25,000 under $50,000","2,988","5,252","1,418","108,344","2,653","90,236","1,445","2,127","2,796","9,061",611,"1,155",310,*       15,738
"$50,000 or more      ","4,096","9,072","2,436","478,259","3,718","377,802","3,196","7,981","4,073","95,641","1,647","7,130",438,**,"1,864"
,,,,,,,,,,,,,,,
98008,"11,287","21,780","5,970","853,190","9,037","649,501","7,479","19,655","9,295","157,794","4,521","15,670","1,731",25,"5,125"
"Under $10,000        ","1,646","1,368",214,968,"1,137","6,940",699,"1,125",409,77,66,72,172,--,172
"$10,000 under $25,000","1,868","2,708",543,"32,316","1,311","21,027",898,"1,556","1,362","1,351",303,482,251,**,375
"$25,000 under $50,000","2,530","4,521","1,156","92,884","2,063","68,739","1,460","2,296","2,315","7,333",714,"1,450",347,**,834
"$50,000 or more      ","5,243","13,183","4,057","727,022","4,526","552,795","4,422","14,678","5,209","149,033","3,438","13,666",961,*       25,"3,744"
,,,,,,,,,,,,,,,
98009,729,"1,137",195,"187,735",495,"32,598",523,"11,574",570,"36,682",288,"10,062",183,**,350
"Under $10,000        ",131,137,17,"-3,992",69,"2,085",74,287,15,4,**,**,33,--,38
"$10,000 under $25,000",120,158,22,"2,097",76,"1,269",76,149,91,106,*       32,*       57,28,--,32
