adjusted_gross_income_size_and_zipcode,returns,number_of_exemptions_total,number_of_exemptions_dependent_exemptions,adjusted_gross_income,salaries_and_wages_number_of_returns,salaries_and_wages_amount,taxable_interest_number_of_returns,taxable_interest_amount,taxable_dividends_number_of_returns,taxable_dividends_amounts,net_capital_gain/loss_number_of_returns,net_capital_gain/loss_amount,schedule_c_net_profit/loss_number_of_returns,schedule_c_net_profit/loss_amount,schedule_f_net_profit/loss_number_of_returns,schedule_f_net_profit/loss_amount,ira_payment_deduction_number_of_returns,ira_payment_deduction_amount,self_employed_pension_deduction_number_of_returns,self_employed_pension_deduction_amount,total_itemized_deduction_number_of_returns,total_itemized_deduction_adjusted_gross_income,total_itemized_deduction_amount,contributions_deductions_number_of_returns,contributions_deductions_number_of_returns,contributions_deductions_amount,taxes_paid_deductions_number_of_returns,taxes_paid_deductions_adjusted_gross_income,taxes_paid_deductions_amount,alternate_minimum_tax_number_of_returns,alternate_minimum_tax_amount,income_tax_before_credits_number_of_returns,income_tax_before_credits_amount,total_tax_number_of_returns,total_tax_amount,earned_income_credit_number_of_returns,earned_income_credit_amount,paid_preparer_number_of_returns
,(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),(13),(14),(15),(16),(17),(18),(19),(20),(21),(22),(23),(24),(25),(26),(27),(28),(29),(30),(31),(32),(33),(34),(35),(36),(37),(38)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2797681,5754582,1767141,152000722,2352755,107664370,1299703,2742795,746156,4386641,628925,9958821,383934,5372937,22212,-137645,72248,216851,26317,374856,1029713,97904430,20253282,873069,88322814,3116347,1030787,96938473,5454422,33366,135053,2267901,19675617,2164862,19623933,350151,562770,1381302
"Under $10,000        ",484668,645216,113685,1147561,360360,2031062,130649,135968,76719,110437,67193,-223,53935,47423,3341,-45786,1287,2958,165,600,21822,130199,313614,13493,85350,14407,30546,-514666,104987,64,38,111724,19230,149217,57823,129336,133593,205473
"$10,000 under $25,000",623251,1069138,315353,10750424,499273,8161206,187167,248606,91591,186704,72854,34258,67189,491798,3151,-13063,8963,20125,758,2959,82772,1499481,1176195,59300,1081032,101272,80622,1456941,240892,37,39,484581,411079,434033,453724,155865,374067,313353
"$25,000 under $50,000",711590,1447188,469687,25893318,619378,20944698,289764,361466,140802,322275,114848,161017,88726,788323,5572,-25573,22685,61482,3090,16973,233480,8970663,3350458,181843,7021288,328654,230727,8868933,801142,66,68,695706,1927041,617545,1824740,64950,55110,349597
"$50,000 under $75,000",427311,1054669,348003,26309954,380493,21073835,254416,337561,137462,345660,111390,277188,68622,742279,4641,-19205,16301,48022,3867,28161,253005,15743933,4176381,214746,13398239,469351,251475,15650489,1064991,756,726,425663,2530654,414988,2390120,0,0,214863
"$75,000 under 100,000",250244,685963,229986,21587847,227356,17370647,179148,256312,107712,314316,87520,365825,42699,612618,2440,-13601,9792,32625,3527,31838,184925,16008821,3514197,165636,14352757,440542,184179,15945231,956546,877,1139,249869,2365447,248885,2289247,0,0,122856
"$100,000 or more     ",300617,852408,290427,66311618,265895,38082922,258559,1402882,191870,3107249,175120,9120756,62763,2690496,3067,-20417,13220,51639,14910,294325,253709,55551333,7722437,238051,52384148,1762121,253238,55531545,2285864,31566,133043,300358,12422166,300194,12608279,0,0,175160
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98001,12780,28132,9426,646355,11300,528792,5759,6199,3090,5222,2442,12562,1904,20578,17,14,281,819,73,835,5748,440653,104128,4929,395160,13404,5741,436823,27305,77,243,10623,71610,10291,69906,1359,2284,6218
"Under $10,000        ",1999,2595,433,6474,1591,8744,423,220,174,120,166,-76,253,492,*,*,*,*,*,*,86,486,1239,45,264,56,117,-1473,355,--,--,532,97,701,279,465,534,752
"$10,000 under $25,000",2426,4199,1277,41931,1978,32103,643,625,302,459,220,138,312,2654,*,*,34,69,--,--,349,6371,5139,240,4451,387,338,6173,1149,--,--,1850,1670,1733,1914,599,1506,1210
"$25,000 under $50,000",3225,7035,2578,118891,2888,98726,1218,887,552,727,432,507,506,4846,*,*,77,202,20,74,1314,51038,19545,1026,40106,1769,1302,50625,4778,--,--,3118,8627,2801,8118,295,244,1648
"$50,000 under $75,000",2347,6173,2247,145417,2202,124805,1353,811,722,840,543,554,366,3184,17,14,62,140,*,*,1661,103994,27421,1452,91165,2864,1657,103734,7209,*,*,2341,13334,2281,12139,--,--,1232
"$75,000 under $100,000",1415,4090,1464,122082,1345,105971,985,658,572,852,444,1049,223,3171,*,*,45,163,16,144,1149,99172,21325,1053,90875,2618,1141,98497,5629,*,*,1414,13058,1407,12448,--,--,673
"$100,000 or more     ",1368,4040,1427,211560,1296,158443,1137,2998,768,2224,637,10390,244,6231,*,*,63,245,37,617,1189,179592,29459,1113,168299,5710,1186,179267,8185,77,243,1368,34824,1368,35008,--,--,703
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98002,12490,24653,8010,451809,10714,355282,3989,6548,2023,4147,1554,8755,1207,10523,12,-38,188,539,41,408,3230,202720,50634,2685,177681,5973,3209,201024,12280,30,89,9920,43122,9239,40955,2232,3777,6630
