adjusted_gross_income_size_and_zipcode,zipcode,returns,number_of_exemptions_total,number_of_exemptions_dependent_exemptions,adjusted_gross_income,salaries_and_wages_number_of_returns,salaries_and_wages_amount,taxable_interest_number_of_returns,taxable_interest_amount,taxable_dividends_number_of_returns,taxable_dividends_amounts,net_capital_gain/loss_number_of_returns,net_capital_gain/loss_amount,schedule_c_net_profit/loss_number_of_returns,schedule_c_net_profit/loss_amount,schedule_f_net_profit/loss_number_of_returns,schedule_f_net_profit/loss_amount,ira_payment_deduction_number_of_returns,ira_payment_deduction_amount,self_employed_pension_deduction_number_of_returns,self_employed_pension_deduction_amount,total_itemized_deduction_number_of_returns,total_itemized_deduction_adjusted_gross_income,total_itemized_deduction_amount,contributions_deductions_number_of_returns,contributions_deductions_number_of_returns,contributions_deductions_amount,taxes_paid_deductions_number_of_returns,taxes_paid_deductions_adjusted_gross_income,taxes_paid_deductions_amount,alternate_minimum_tax_number_of_returns,alternate_minimum_tax_amount,income_tax_before_credits_number_of_returns,income_tax_before_credits_amount,total_tax_number_of_returns,total_tax_amount,earned_income_credit_number_of_returns,earned_income_credit_amount,paid_preparer_number_of_returns
Gross Income,,(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),(13),(14),(15),(16),(17),(18),(19),(20),(21),(22),(23),(24),(25),(26),(27),(28),(29),(30),(31),(32),(33),(34),(35),(36),(37),(38)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL,,"2,946,018","5,809,710","1,826,111","183,385,145","2,479,951","122,971,056","1,455,443","4,691,791","781,794","4,572,831","677,309","18,126,595","411,740","6,330,774","22,110","-158,342","73,840","278,412","26,412","433,135","1,112,315","123,919,667","25,136,759","905,114","109,566,422","3,498,967","1,109,387","119,916,992","6,367,922","51,660","240,029","2,412,046","24,741,050","2,306,829","24,740,095","354,715","605,164","1,460,942"
"Under $10,000        ",,"462,620","454,701","105,886","671,160","349,666","2,032,220","131,103","161,543","67,574","94,816","62,550","110,990","54,735","-3,660","3,110","-50,024",921,"2,527",173,636,"19,150","110,720","304,053","10,883","67,716","11,686","28,335","-800,075","100,023",75,86,"99,828","17,636","137,151","57,085","122,222","128,746","197,432"
"$10,000 under $25,000",,"614,800","1,002,082","306,875","10,665,662","497,783","8,267,190","185,365","299,829","80,604","158,891","66,231","105,190","66,176","514,926","2,851","-17,373","7,628","19,405",449,"2,068","75,115","1,364,647","1,163,947","49,629","905,530","85,421","72,275","1,261,378","208,461",104,125,"471,976","390,306","424,766","435,995","153,188","393,040","307,254"
"$25,000 under $50,000",,"731,456","1,438,798","467,247","26,622,421","634,026","21,568,629","300,245","493,859","129,747","294,553","107,526","279,898","87,277","848,743","4,788","-25,662","21,496","69,089","2,494","15,585","222,016","8,537,303","3,528,454","160,155","6,189,866","295,138","217,355","8,027,534","740,661",134,170,"707,048","1,911,971","627,913","1,829,448","79,305","83,378","357,196"
"$50,000 under $75,000",,"448,000","1,048,601","334,845","27,626,727","391,726","21,680,941","273,360","519,244","133,709","363,711","110,556","464,332","70,590","802,661","4,705","-22,545","16,906","61,551","3,446","26,634","253,827","15,828,691","4,625,250","202,008","12,636,916","443,666","251,249","15,128,139","1,072,857",598,782,"445,109","2,601,379","431,149","2,482,689",0,0,"225,617"
"$75,000 under $100,000",,"285,158","743,693","238,577","24,666,442","253,040","19,228,067","210,235","441,865","117,352","360,772","97,844","600,457","48,924","696,647","2,874","-14,741","10,662","41,763","2,918","28,935","202,279","17,576,347","4,208,871","172,155","14,977,965","457,191","201,072","16,966,000","1,051,756","1,067","1,639","284,515","2,629,419","282,649","2,545,033",0,0,"140,983"
"$100,000 under $200,000",,"310,651","859,334","283,118","41,242,746","277,479","30,512,792","265,452","836,410","178,804","847,858","157,695","2,209,752","61,108","1,619,149","3,042","-20,597","13,904","67,262","9,006","135,991","257,735","34,466,748","6,709,114","233,194","31,289,095","859,411","256,999","33,612,914","1,832,260","11,564","23,840","310,313","5,666,100","309,986","5,779,265",0,0,"162,889"
"$200,000 or more     ",,"93,333","262,501","89,563","51,889,987","76,231","19,681,217","89,683","1,939,041","74,004","2,452,230","74,907","14,355,976","22,930","1,852,308",740,"-7,400","2,323","16,815","7,926","223,286","82,193","46,035,211","4,597,070","77,090","43,499,334","1,346,454","82,102","45,721,102","1,361,904","38,118","213,387","93,257","11,524,239","93,215","11,610,580",0,0,"69,571"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98001,98001,"13,777","29,023","10,118","786,020","12,150","615,815","6,565","11,538","3,204","5,899","2,583","26,747","2,032","27,114",18,12,298,"1,108",89,"1,314","6,308","550,909","133,111","5,125","479,792","15,241","6,281","544,368","32,144",128,383,"11,425","92,431","11,062","91,877","1,511","2,724","6,934"
"Under $10,000        ",98001,"2,023","1,756",429,"5,741","1,585","8,661",481,298,182,151,168,197,246,603,0,0,*,*,0,0,73,453,"1,040",32,201,33,109,"-2,766",316,0,0,497,89,678,278,429,535,821
"$10,000 under $25,000",98001,"2,501","4,100","1,333","43,453","2,050","33,826",682,781,258,295,195,232,357,"3,456",*,*,34,102,*,*,367,"6,705","6,008",216,"4,072",403,354,"6,501","1,122",0,0,"1,892","1,622","1,794","1,994",651,"1,727","1,299"
"$25,000 under $50,000",98001,"3,289","6,940","2,595","120,381","2,947","100,963","1,205","1,339",428,559,350,539,484,"6,425",*,*,72,199,15,80,"1,280","49,330","22,714",925,"36,121","1,540","1,262","48,636","4,728",0,0,"3,090","8,072","2,775","7,917",431,462,"1,740"
"$50,000 under $75,000",98001,"2,366","5,979","2,185","146,724","2,175","122,882","1,386","1,566",627,719,479,"1,805",374,"4,463",18,12,62,201,22,165,"1,621","101,248","30,771","1,291","80,500","2,703","1,606","100,314","7,085",*,*,"2,349","13,027","2,235","12,207",0,0,"1,264"
"$75,000 under $100,00",98001,"1,644","4,546","1,578","142,003","1,563","121,378","1,160","1,433",592,729,455,"1,722",244,"3,017",*,*,60,244,*,*,"1,278","110,707","26,900","1,100","95,474","2,935","1,267",110000,"6,630",15,14,"1,643","14,597","1,629","13,840",0,0,777
"$100,000 under $200,000",98001,"1,693","5,005","1,789","219,233","1,599","181,091","1,398","2,548",924,"1,821",747,"6,155",279,"6,466",*,*,56,266,36,530,"1,463","190,364","36,208","1,354","176,499","4,843","1,458","189,808","9,593",34,55,"1,693","29,686","1,690","29,851",0,0,836
"$200,000 or more     ",98001,261,697,209,"108,485",231,"47,014",253,"3,573",193,"1,625",189,"16,097",48,"2,684",0,0,14,96,16,539,226,"92,102","9,470",207,"86,925","2,784",225,"91,875","2,670",79,314,261,"25,338",261,"25,790",0,0,197
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98002,98002,"13,276","25,837","8,854","504,991","11,427","402,825","4,246","8,533","2,051","4,570","1,548","11,349","1,277","11,167",*,*,158,555,22,269,"3,374","223,121","58,169","2,576","180,591","6,171","3,332","220,322","12,884",39,123,"10,503","47,628","9,701","45,992","2,311","4,147","7,149"
"Under $10,000        ",98002,"2,121","2,705",775,"9,972","1,610","8,803",361,352,144,158,115,36,212,158,0,0,0,0,0,0,67,382,885,38,214,35,78,95,193,0,0,336,41,487,151,759,924,998
