zipcode,adjusted_gross_income_size,returns,joint_returns,paid_preparer_number_of_returns,number_of_exemptions_total,dependent_number_of_returns,adjusted_gross_income,salaries_and_wages_number_of_returns,salaries_and_wages_amount,taxable_interest_number_of_returns,taxable_interest_amount,ordinary_dividends_number_of_returns,ordinary_dividends_amounts,qualified_dividends_number_of_returns,qualified_dividends_amounts,business_net_income_number_of_returns,business_net_income_amount,farm_number_of_returns,net_capital_gain_in_agi_number_of_returns,net_capital_gain_in_agi_amount,taxable_individual_retirement_arrangement_distributions_number_of_returns,taxable_individual_retirement_arrangement_distributions_amount,pensions_and_annuities_in_agi_number_of_returns,pensions_and_annuities_in_agi_amount,unemployment_compensation_in_agi_number_of_returns,unemployment_compensation_in_agi_amount,social_security_benefits_in_agi_number_of_returns,social_security_benefits_in_agi_amount,self_employment_retirement_plans_number_of_returns,self_employment_retirement_plans_amount,total_itemized_deductions_number_of_returns,total_itemized_deductions_amount,state_and_local_income_taxes_number_of_returns,state_and_local_income_taxes_amount,state_and_local_general_sales_taxes_number_of_returns,state_and_local_general_sales_taxes_amount,real_estate_taxes_number_of_returns,real_estate_taxes_amount,taxes_paid_number_of_returns,taxes_paid_amount,mortgage_interest_paid_number_of_returns,mortgage_interest_paid_amount,contributions_number_of_returns,contributions_amount,taxable_income_number_of_returns,taxable_income_amount,total_tax_credits_number_of_returns,total_tax_credits_amount,residential_energy_credit_number_of_returns,residential_energy_credit_amount,child_tax_credit_number_of_returns,child_tax_credit_amount,child_and_dependent_care_credit_number_of_returns,child_and_dependent_care_credit_amount,additional_child_tax_credit_number_of_returns,additional_child_tax_credit_amount,earned_income_credit_number_of_returns,earned_income_credit_amount,earned_income_credit_refundable_number_of_returns,earned_income_credit_refundable_amount,alternative_minimum_tax_number_of_returns,alternative_minimum_tax_amount,income_tax_number_of_returns,income_tax_amount,total_tax_liability_number_of_returns,total_tax_liability_amount,tax_due_at_time_of_filing_number_of_returns,tax_due_at_time_of_filing_amount,overpayments_refunded_number_of_returns,overpayments_refunded_amount
,,(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),(13),(14),(15),(16),(17),(18),(19),(20),(21),(22),(23),(24),(25),(26),(27),(28),(29),(30),(31),(32),(33),(34),(35),(36),(37),(38),(39),(40),(41),(42),(43),(44),(45),(46),(47),(48),(49),(50),(51),(52),(53),(54),(55),(56),(57),(58),(59),(60),(61),(62),(63),(64),(65),(66),(67),(68),(69)
00000,,"3,012,518","1,255,056","1,351,021","6,118,866","1,846,784","181,966,935","2,535,563","133,077,193","1,377,788","3,557,396","711,401","3,873,298","618,354","2,891,596","400,359","5,887,529","21,207","500,615","4,862,854","210,619","3,215,842","555,183","11,665,997","288,466","2,477,369","353,564","4,154,915","19,960","363,400","1,070,927","26,454,680","58,111","393,067","818,601","1,758,480","996,403","3,918,258","1,060,441","6,455,927","918,827","12,448,504","842,502","3,262,593","2,397,967","122,149,173","1,008,783","1,300,192","131,628","119,995","522,332","653,618","111,708","57,320","364,302","505,578","433,127","859,443","374,218","760,524","51,760","207,990","2,149,173","21,279,450","2,274,918","22,400,656","502,920","2,259,459","2,342,468","6,925,129"
00000,"$1 under $25,000",1064726,160033,435159,1576508,417343,13325191,825112,9963180,291296,397250,133875,263458,112436,142067,118333,764198,4227,92920,-67941,50642,290435,142079,1326691,97515,702972,42334,72739,812,4598,98222,1752635,2929,5054,71534,65838,79617,242831,94668,331256,63307,628694,60772,103097,495067,3047039,136148,47979,3833,1563,43462,15067,7734,2477,204027,252026,304813,646339,269926,582934,342,253,403366,278604,491117,424157,103703,61506,865657,1638778
00000,"$25,000 under $50,000",750504,240983,332087,1502070,458419,27256497,641816,21542601,280197,435748,118128,292880,100237,172456,83631,826085,4314,80908,5498,49227,456943,132401,2326453,87952,830475,114439,720224,1556,11123,195111,3447320,8941,18792,145988,172858,172759,499298,191858,732301,157041,1599160,132617,269564,711085,14086614,290997,252637,21725,15456,170766,160857,25342,13280,130976,210816,128314,213104,104292,177590,886,1241,587441,1511883,615964,1685336,102029,136211,630852,1658400
00000,"$50,000 under $75,000",453033,249569,211575,1025744,311560,27931967,394090,21877797,249339,444976,115904,333256,99067,207683,65081,692347,4000,77201,52730,40657,540930,104698,2459677,48308,426675,83142,1165476,1962,17743,225302,4473331,12219,35729,171184,263545,209940,648962,223350,1009871,197084,2257884,170079,397609,449225,17548850,201970,291653,29994,24966,128495,201508,21093,10712,24658,35261,0,0,0,0,724,857,422507,2214941,429812,2366270,87339,174677,351936,1122656
00000,"$75,000 under $100,000",297360,220657,138348,757103,235490,25768379,265573,20412619,196833,378623,103032,296194,89363,197001,48059,618128,3246,67813,120174,30211,553650,74420,2054331,26564,245542,53106,968198,2224,22566,191014,4325470,11162,43988,147213,288746,182664,642192,190062,1034673,173556,2259696,156126,439020,296378,17539139,150832,249906,26824,24161,95928,162461,19398,10427,3756,6002,0,0,0,0,1159,1977,291458,2372986,292983,2507187,62638,162720,224825,845012
00000,"$100,000 under $200,000",358810,306473,173708,997784,329941,47982761,330619,38306093,279200,706291,175191,682120,156515,489993,64669,1416773,4124,123572,597442,33339,966188,85342,2780776,24592,237440,49560,984444,6581,101276,281278,7935959,16313,101235,220893,600216,273418,1219154,280611,2060060,259611,4080589,248435,935841,358287,35619009,184920,267213,39861,40386,83643,113628,30486,16348,885,1473,0,0,0,0,8653,18011,356575,6096708,357149,6371430,109059,496309,233320,1123827
00000,"$200,000 or more",88085,77341,60144,259657,94031,39702140,78353,20974903,80923,1194508,65271,2005390,60736,1682396,20586,1569998,1296,58201,4154951,6543,407696,16243,718069,3535,34265,10983,243834,6825,206094,80000,4519965,6547,188269,61789,367277,78005,665821,79892,1287766,68228,1622481,74473,1117462,87925,34308522,43916,190804,9391,13463,38,97,7655,4076,0,0,0,0,0,0,39996,185651,87826,8804328,87893,9046276,38152,1228036,35878,536456
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98001,,"14,206","6,416","6,660","30,655","10,116","807,730","12,385","649,994","6,459","8,434","2,866","5,384","2,471","3,555","2,000","24,877",28,"1,689","3,790",814,"11,527","2,371","47,761","1,508","14,799","1,333","15,430",55,733,"5,985","134,468",109,427,"4,959","9,715","5,669","21,942","5,933","33,703","5,471","71,885","4,680","13,572","11,380","515,680","5,012","6,606",719,650,"2,919","3,794",543,284,"1,716","2,455","1,969","3,970","1,615","3,167",139,361,"10,243","80,981","11,059","85,893","2,186","5,778","11,557","34,060"
98001,"$1 under $25,000",4599,738,2070,6703,1919,56306,3596,41473,1188,1041,415,526,358,314,652,5381,**,258,-218,169,923,567,5292,435,3511,176,264,**,**,481,8338,**,**,369,290,412,1364,465,1752,369,3978,272,470,2049,12697,521,202,**,**,165,60,33,12,824,1016,1309,2887,1133,2378,0,0,1707,1166,2230,2100,480,283,3834,6914
98001,"$25,000 under $50,000",3436,1099,1604,7321,2519,125268,3005,100742,1223,1259,403,636,347,354,481,4802,28,246,-53,186,1838,528,8936,441,4958,406,2614,**,**,1088,19998,30,57,899,1013,1005,3433,1079,4620,951,11106,735,1335,3182,61746,1371,1255,129,84,851,813,141,72,689,1138,660,1083,482,789,**,**,2592,6540,2834,7501,388,526,3005,8283
98001,"$50,000 under $75,000",2334,1316,1173,5747,1970,143586,2134,120393,1236,1050,504,620,427,393,330,3766,**,276,137,166,1987,428,8703,293,2847,294,4250,**,**,1392,28020,26,75,1139,1857,1308,4501,1374,6740,1269,15422,1060,2364,2315,85498,1118,1689,167,150,765,1160,101,55,179,258,0,0,0,0,**,**,2134,10349,2178,11175,373,851,1933,6497
98001,"$75,000 under $100,000",1659,1307,792,4590,1573,143695,1575,123613,1074,1000,521,627,442,399,237,2434,**,264,315,121,2104,332,7452,177,1726,219,3785,**,**,1220,27459,21,47,1013,1978,1169,4375,1216,6743,1156,15407,984,2511,1657,94601,908,1590,181,170,629,1067,105,56,24,43,0,0,0,0,**,**,1634,12273,1642,12865,292,719,1342,5030
98001,"$100,000 under $200,000",1941,1738,864,5607,1903,252605,1858,213047,1519,2242,873,1845,761,1350,261,4677,**,522,1937,172,4675,465,14684,162,1757,209,3927,55,733,1592,41452,32,248,1355,3602,1567,6824,1588,11206,1536,22287,1439,5114,1940,186574,1000,1454,215,215,509,694,163,89,**,**,0,0,0,0,44,104,1939,31122,1938,32156,551,2061,1339,5758
98001,"$200,000 or more",237,218,157,687,232,86270,217,50726,219,1842,150,1130,136,745,39,3817,**,123,1672,**,**,51,2694,**,**,29,590,**,**,212,9201,**,**,184,975,208,1445,211,2642,190,3685,190,1778,237,74564,94,416,27,31,0,0,**,**,0,0,0,0,0,0,95,257,237,19531,237,20096,102,1338,104,1578
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98002,,"13,910","4,420","6,703","29,077","9,296","541,151","11,954","434,672","4,296","6,167","1,685","2,950","1,384","1,837","1,245","12,291",0,957,949,831,"10,185","2,405","38,414","1,663","15,191","1,321","12,733",0,0,"3,184","62,026",46,390,"2,588","4,341","2,889","8,754","3,141","14,189","2,783","31,836","2,311","5,650","10,448","311,442","4,080","4,301",362,288,"2,674","2,955",367,183,"2,711","3,827","2,869","6,059","2,562","5,426",50,167,"8,972","42,865","9,568","45,260","1,560","3,719","11,904","30,476"
98002,"$1 under $25,000",5878,909,2746,10718,3341,78518,4676,58087,1161,1432,392,600,309,249,541,4048,0,258,-385,278,1373,853,7656,667,5559,239,385,0,0,325,5251,21,44,252,495,270,659,317,1196,225,1954,218,425,2621,16060,767,257,23,10,338,111,57,12,1697,2151,2025,4694,1872,4279,**,**,2067,1475,2532,2169,380,237,5162,10892
98002,"$25,000 under $50,000",4364,1185,2129,9416,3188,156193,3926,131274,1142,1133,420,595,342,296,295,2597,0,211,-129,241,1895,648,9977,546,5441,512,3079,0,0,837,13681,**,**,669,690,731,1990,826,2866,700,7152,536,1019,4167,80821,1700,1513,81,56,1250,1159,122,67,912,1532,844,1365,690,1147,23,73,3353,8681,3466,9233,446,501,3882,9999
98002,"$50,000 under $75,000",1977,1006,974,4587,1473,120197,1794,99321,908,1042,332,496,262,323,220,2249,0,178,16,141,1581,429,8338,278,2555,290,3981,0,0,893,16673,25,346,725,1060,818,2346,879,3873,808,8902,644,1237,1969,76809,858,1298,113,86,620,1002,77,42,102,144,0,0,0,0,**,**,1871,9765,1889,10243,307,683,1633,4909
98002,"$75,000 under $100,000",958,693,467,2398,715,82285,876,67788,562,995,262,346,218,217,89,851,0,138,394,87,1765,255,5861,102,907,158,2690,0,0,561,11658,**,**,464,841,529,1629,556,2630,525,6459,430,1146,958,57565,435,689,73,67,307,483,67,41,**,**,0,0,0,0,**,**,952,8083,952,8310,180,486,766,2638
98002,"$100,000 under $200,000",681,586,353,1838,554,86397,638,70430,481,771,249,538,224,422,100,2546,0,149,867,84,3571,220,6582,70,729,122,2598,0,0,525,13067,**,**,438,1080,501,1839,520,3144,488,6738,445,1578,681,64795,320,544,72,69,159,200,44,21,**,**,0,0,0,0,27,94,677,10917,677,11215,220,899,440,1772
98002,"$200,000 or more",52,41,34,120,25,17561,44,7772,42,794,30,375,29,330,**,**,0,23,186,**,**,**,**,**,**,**,**,0,0,43,1696,0,0,40,175,40,291,43,480,37,631,38,245,52,15392,**,**,**,**,0,0,**,**,0,0,0,0,0,0,**,**,52,3944,52,4090,27,913,21,266
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
