"Table 1-- Individual Income Tax Returns: Selected Income and Tax Items by State, ZIP Code, and Size of Adjusted Gross Income, Tax Year 1998",,,,,,,,,,,,,,,,,,
(Money amounts in thousands of dollars),,,,,,,,,,,,,,,,,,
WASHINGTON           ,,,,,,,,,,,,,,,,,,
,,      Number of Exemptions      ,,,Salaries and Wages   ,,Taxable Interest,,Earned Income Credit  ,,Total Tax,,Schedule C,,Schedule F  ,, Schedule A Deductions ,
,,,,Adjusted,,,,,,,,,,Number of,,Number of,,
Adjusted Gross,Number of,,Dependent,Gross,Number of,,Number of,,Number of,,Number of,,Number of,Schedules,Number of,Schedules,Number of,
Income Size,Returns,Total,Exemptions,Income,Returns,Amount,Returns,Amount,Returns,Amount,Returns,Amount,Returns,C,Returns,F,Returns,   Amount
,(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),(13),(14),(15),(16),(17),(18)
WASHINGTON           ,"2,602,511","5,085,271","1,596,423","124,833,037","2,203,182","87,464,715","1,528,189","3,980,745","298,018","432,446","2,173,362","20,641,534","362,414","419,906","29,878","30,950","839,788","13,531,827"
"Under $10,000        ","508,744","481,089","127,900","1,068,532","404,281","2,083,247","181,495","205,626","132,925","145,999","203,768","78,703","49,167","56,522","4,514","4,721","18,489","285,210"
"$10,000 under $25,000","640,682","1,063,760","297,379","11,015,471","517,487","8,303,854","275,187","474,116","143,248","276,443","532,526","715,509","67,013","77,669","5,304","5,478","67,794","770,255"
"$25,000 under $50,000","695,768","1,459,282","461,372","25,280,103","611,686","20,417,374","422,078","663,358","21,845","10,004","680,778","2,513,635","97,992","113,814","7,868","8,128","226,770","2,634,345"
"$50,000 or more      ","757,317","2,081,140","709,772","87,468,931","669,728","56,660,240","649,429","2,637,645",--        ,--        ,"756,290","17,333,687","148,242","171,901","12,192","12,623","526,735","9,842,017"
                     ,          ,          ,          ,            ,          ,            ,          ,          ,          ,          ,          ,            ,          ,          ,          ,          ,          ,            
98000                ,19,24,3,519,16,349,**        ,**        ,**        ,**        ,18,59,**        ,**        ,--        ,--        ,**        ,**          
"Under $10,000        ",**        ,**        ,**        ,**          ,**        ,**          ,**        ,**        ,--        ,--        ,--        ,--          ,--        ,--        ,--        ,--        ,--        ,--          
"$10,000 under $25,000",*       19,*       24,*        3,*        519,*       16,*        349,**        ,**        ,**        ,**        ,*       18,*         59,**        ,**        ,--        ,--        ,--        ,--          
"$25,000 under $50,000",**        ,**        ,**        ,**          ,**        ,**          ,**        ,**        ,--        ,--        ,**        ,**          ,**        ,**        ,--        ,--        ,**        ,**          
"$50,000 or more      ",**        ,**        ,**        ,**          ,**        ,**          ,**        ,**        ,--        ,--        ,**        ,**          ,--        ,--        ,--        ,--        ,**        ,**          
                     ,          ,          ,          ,            ,          ,            ,          ,          ,          ,          ,          ,            ,          ,          ,          ,          ,          ,            
98001                ,"11,196","23,339","7,997","513,429","10,035","421,351","6,775","8,498",893,"1,301","9,668","71,073","1,509","1,706",30,30,"4,805","67,252"
