"Table 1-- Individual Income Tax Returns: Selected Income and Tax Items by State, ZIP Code, and Size of Adjusted Gross Income, Tax Year 2001",,,,,,,,,,,,,,
(Money amounts in thousands of dollars),,,,,,,,,,,,,,
WASHINGTON           ,,,,,,,,,,,,,,
,,      Number of Exemptions      ,,,Salaries and Wages   ,,Taxable Interest,,Total Tax,,Schedule C,Schedule F  , Schedule A ,
Zip Code and,,,,Adjusted,,,,,,,,,,
Adjusted Gross,Number of,,Dependent,Gross,Number of,,Number of,,Number of,,Number of,Number of,Number of,
Income Size,Returns,Total,Exemptions,Income,Returns,Amount,Returns,Amount,Returns,Amount,Returns,Returns,Returns,
,(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),(13),
WASHINGTON - Total,"2,710,940","5,772,670","1,643,376","136,380,062","2,301,375","100,772,016","1,510,798","4,335,347","2,161,744","20,684,666","356,824","34,558","952,269",
"Under $10,000        ","477,165","500,943","106,893","713,141","372,410","2,071,708","165,272","256,213","143,755","84,359","48,207","11,462","25,639",
"$10,000 under $25,000","624,638","1,165,506","285,286","10,784,768","502,051","8,118,610","240,908","453,483","460,285","528,335","62,167","4,428","74,892",
"$25,000 under $50,000","714,531","1,555,845","443,911","25,977,854","625,315","20,960,420","379,950","679,605","667,785","2,248,763","88,058","6,711","227,279",
"$50,000 or more      ","894,606","2,550,376","807,286","98,904,299","801,599","69,621,278","724,668","2,946,046","889,919","17,823,209","158,392","11,957","624,459",
                     ,          ,          ,          ,            ,          ,            ,          ,          ,          ,            ,          ,          ,          ,
98000                ,22,44,14,807,17,583,**        ,**        ,17,116,**        ,--        ,**        ,
"Under $10,000        ",*       12,*       19,*        9,*        109,**        ,**          ,--        ,--        ,**        ,**          ,**        ,--        ,**        ,
"$10,000 under $25,000",**        ,**        ,**        ,**          ,*       17,*        583,--        ,--        ,**        ,**          ,**        ,--        ,**        ,
"$25,000 under $50,000",*       10,*       25,*        5,*        698,**        ,**          ,**        ,**        ,*       17,*        116,--        ,--        ,**        ,
"$50,000 or more      ",**        ,**        ,**        ,**          ,**        ,**          ,**        ,**        ,**        ,**          ,**        ,--        ,**        ,
                     ,          ,          ,          ,            ,          ,            ,          ,          ,          ,            ,          ,          ,          ,
98001                ,"11,608","25,668","8,261","580,980","10,347","480,856","6,649","9,209","9,603","76,242","1,537",22,"5,304",
"Under $10,000        ","1,872","1,418",291,"3,308","1,546","8,473",574,352,624,411,173,**        ,74,
"$10,000 under $25,000","2,129","3,855",998,"37,138","1,729","28,159",791,"1,137","1,599","1,872",232,**        ,335,
"$25,000 under $50,000","2,828","6,332","2,035","104,414","2,520","86,622","1,483","1,765","2,626","8,513",384,**        ,"1,185",
"$50,000 or more      ","4,779","14,063","4,937","436,120","4,552","357,602","3,801","5,955","4,754","65,446",748,*       22,"3,710",
                     ,          ,          ,          ,            ,          ,            ,          ,          ,          ,            ,          ,          ,          ,
98002                ,"13,432","27,748","7,973","485,101","11,666","383,578","5,692","12,890","10,627","54,406","1,196",19,"3,314",
"Under $10,000        ","2,225","2,782",698,"11,036","1,844","9,642",502,499,570,113,177,**        ,61,
"$10,000 under $25,000","3,746","7,171","1,874","65,869","3,025","49,810","1,186","2,284","2,822","3,298",272,**        ,306,
"$25,000 under $50,000","4,348","9,089","2,780","155,364","3,968","132,830","1,815","2,383","4,134","13,796",332,*       19,"1,099",
"$50,000 or more      ","3,113","8,706","2,621","252,832","2,829","191,296","2,189","7,724","3,101","37,199",415,**        ,"1,848",
                     ,          ,          ,          ,            ,          ,            ,          ,          ,          ,            ,          ,          ,          ,
98003                ,"18,041","37,553","11,406","746,498","15,912","601,465","8,270","15,802","14,364","93,724","1,896",28,"5,555",
"Under $10,000        ","2,852","3,325",865,"5,414","2,321","12,569",726,680,803,179,264,*       10,119,
"$10,000 under $25,000","4,587","8,602","2,434","80,485","3,858","64,345","1,389","2,400","3,335","3,866",401,**        ,442,
"$25,000 under $50,000","5,541","11,447","3,522","199,482","5,056","171,594","2,381","3,114","5,183","17,664",488,**        ,"1,538",
"$50,000 or more      ","5,061","14,179","4,585","461,117","4,677","352,957","3,774","9,608","5,043","72,015",743,18,"3,456",
                     ,          ,          ,          ,            ,          ,            ,          ,          ,          ,            ,          ,          ,          ,
98004                ,"12,491","24,942","4,870","1,605,063","9,197","943,437","8,807","85,037","10,685","391,772","2,016",38,"5,471",
"Under $10,000        ","1,883","1,624",243,"-50,218","1,129","8,971",955,"7,843",637,287,219,*       10,237,
"$10,000 under $25,000","1,864","2,910",296,"32,629","1,263","20,724","1,028","2,681","1,517","1,954",246,**        ,364,
"$25,000 under $50,000","2,653","4,541",623,"97,922","2,050","69,755","1,589","4,936","2,511","10,001",321,**        ,778,
"$50,000 or more      ","6,091","15,867","3,708","1,524,730","4,755","843,987","5,235","69,577","6,020","379,530","1,230",28,"4,092",
