,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WASHINGTON           ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Individual Income Tax Returns: Selected Income and Tax Items by State, ZIP Code and Size of Adjusted Gross Income, Tax Year 2004                                                                                                                                                                                                                                                                                                                                                                                                                               ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"(Money amounts are in thousands, * indicates that the data in the cell has been suppressed)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source:  IRS Individual Master File, Statistics of Income, December, 2006",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Number of returns,Number of exemptions,,Adjusted Gross Income,Salaries and Wages,,Taxable Interest,,Taxable Dividends,,Net Capital Gain/Loss,,Schedule C Net Profit/Loss,,Schedule F Net Profit/Loss,,IRA Payment Deduction,,Self-employed Pension Deduction,,Total Itemized Deductions,,,Contributions Deductions,,,Taxes Paid Deductions,,,Alternative Minimum Tax,,Income Tax Before Credits,,Total Tax,,Earned Income Credit,,Paid Preparer
ZIP Code  & ,,Total,Dependent Exemptions,,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Adjusted gross income,Amount,Number of returns,Adjusted gross income,Amount,Number of returns,Adjusted gross income,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns
Size of Adjusted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gross Income,(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),(13),(14),(15),(16),(17),(18),(19),(20),(21),(22),(23),(24),(25),(26),(27),(28),(29),(30),(31),(32),(33),(34),(35),(36),(37),(38)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"2,797,681","5,754,582","1,767,141","152,000,722","2,352,755","107,664,370","1,299,703","2,742,795","746,156","4,386,641","628,925","9,958,821","383,934","5,372,937","22,212","-137,645","72,248","216,851","26,317","374,856","1,029,713","97,904,430","20,253,282","873,069","88,322,814","3,116,347","1,030,787","96,938,473","5,454,422","33,366","135,053","2,267,901","19,675,617","2,164,862","19,623,933","350,151","562,770","1,381,302"
"Under $10,000        ","484,668","645,216","113,685","1,147,561","360,360","2,031,062","130,649","135,968","76,719","110,437","67,193",-223,"53,935","47,423","3,341","-45,786","1,287","2,958",165,600,"21,822","130,199","313,614","13,493","85,350","14,407","30,546","-514,666","104,987",64,38,"111,724","19,230","149,217","57,823","129,336","133,593","205,473"
"$10,000 under $25,000","623,251","1,069,138","315,353","10,750,424","499,273","8,161,206","187,167","248,606","91,591","186,704","72,854","34,258","67,189","491,798","3,151","-13,063","8,963","20,125",758,"2,959","82,772","1,499,481","1,176,195","59,300","1,081,032","101,272","80,622","1,456,941","240,892",37,39,"484,581","411,079","434,033","453,724","155,865","374,067","313,353"
"$25,000 under $50,000","711,590","1,447,188","469,687","25,893,318","619,378","20,944,698","289,764","361,466","140,802","322,275","114,848","161,017","88,726","788,323","5,572","-25,573","22,685","61,482","3,090","16,973","233,480","8,970,663","3,350,458","181,843","7,021,288","328,654","230,727","8,868,933","801,142",66,68,"695,706","1,927,041","617,545","1,824,740","64,950","55,110","349,597"
"$50,000 under $75,000","427,311","1,054,669","348,003","26,309,954","380,493","21,073,835","254,416","337,561","137,462","345,660","111,390","277,188","68,622","742,279","4,641","-19,205","16,301","48,022","3,867","28,161","253,005","15,743,933","4,176,381","214,746","13,398,239","469,351","251,475","15,650,489","1,064,991",756,726,"425,663","2,530,654","414,988","2,390,120",0,0,"214,863"
"$75,000 under 100,000","250,244","685,963","229,986","21,587,847","227,356","17,370,647","179,148","256,312","107,712","314,316","87,520","365,825","42,699","612,618","2,440","-13,601","9,792","32,625","3,527","31,838","184,925","16,008,821","3,514,197","165,636","14,352,757","440,542","184,179","15,945,231","956,546",877,"1,139","249,869","2,365,447","248,885","2,289,247",0,0,"122,856"
"$100,000 or more     ","300,617","852,408","290,427","66,311,618","265,895","38,082,922","258,559","1,402,882","191,870","3,107,249","175,120","9,120,756","62,763","2,690,496","3,067","-20,417","13,220","51,639","14,910","294,325","253,709","55,551,333","7,722,437","238,051","52,384,148","1,762,121","253,238","55,531,545","2,285,864","31,566","133,043","300,358","12,422,166","300,194","12,608,279",0,0,"175,160"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98001,"12,780","28,132","9,426","646,355","11,300","528,792","5,759","6,199","3,090","5,222","2,442","12,562","1,904","20,578",17,14,281,819,73,835,"5,748","440,653","104,128","4,929","395,160","13,404","5,741","436,823","27,305",77,243,"10,623","71,610","10,291","69,906","1,359","2,284","6,218"
"Under $10,000        ","1,999","2,595",433,"6,474","1,591","8,744",423,220,174,120,166,-76,253,492,*         ,*              ,*         ,*              ,*         ,*              ,86,486,"1,239",45,264,56,117,"-1,473",355,--        ,--             ,532,97,701,279,465,534,752
"$10,000 under $25,000","2,426","4,199","1,277","41,931","1,978","32,103",643,625,302,459,220,138,312,"2,654",*         ,*              ,34,69,--        ,--             ,349,"6,371","5,139",240,"4,451",387,338,"6,173","1,149",--        ,--             ,"1,850","1,670","1,733","1,914",599,"1,506","1,210"
"$25,000 under $50,000","3,225","7,035","2,578","118,891","2,888","98,726","1,218",887,552,727,432,507,506,"4,846",*         ,*              ,77,202,20,74,"1,314","51,038","19,545","1,026","40,106","1,769","1,302","50,625","4,778",--        ,--             ,"3,118","8,627","2,801","8,118",295,244,"1,648"
"$50,000 under $75,000","2,347","6,173","2,247","145,417","2,202","124,805","1,353",811,722,840,543,554,366,"3,184",17,14,62,140,*         ,*              ,"1,661","103,994","27,421","1,452","91,165","2,864","1,657","103,734","7,209",*         ,*              ,"2,341","13,334","2,281","12,139",--        ,--             ,"1,232"
"$75,000 under $100,000","1,415","4,090","1,464","122,082","1,345","105,971",985,658,572,852,444,"1,049",223,"3,171",*         ,*              ,45,163,16,144,"1,149","99,172","21,325","1,053","90,875","2,618","1,141","98,497","5,629",*         ,*              ,"1,414","13,058","1,407","12,448",--        ,--             ,673
"$100,000 or more     ","1,368","4,040","1,427","211,560","1,296","158,443","1,137","2,998",768,"2,224",637,"10,390",244,"6,231",*         ,*              ,63,245,37,617,"1,189","179,592","29,459","1,113","168,299","5,710","1,186","179,267","8,185",77,243,"1,368","34,824","1,368","35,008",--        ,--             ,703
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,               ,          ,               ,               ,          ,               ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          
98002,"12,490","24,653","8,010","451,809","10,714","355,282","3,989","6,548","2,023","4,147","1,554","8,755","1,207","10,523",12,-38,188,539,41,408,"3,230","202,720","50,634","2,685","177,681","5,973","3,209","201,024","12,280",30,89,"9,920","43,122","9,239","40,955","2,232","3,777","6,630"
