WASHINGTON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Individual Income Tax Returns: Selected Income and Tax Items by State, ZIP Code and Size of Adjusted Gross Income, Tax Year 2005                                                                                                                                                                                                                                                                                                                                                                                                                              ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"(Money amounts are in thousands, * indicates that the data in the cell has been suppressed)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source:  IRS Individual Master File, Statistics of Income, September, 2007",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Number of returns,Number of exemptions,,Adjusted Gross Income,Salaries and Wages,,Taxable Interest,,Taxable Dividends,,Net Capital Gain/Loss,,Schedule C Net Profit/Loss,,Schedule F Net Profit/Loss,,IRA Payment Deduction,,Self-employed Pension Deduction,,Total Itemized Deductions,,,Contributions Deductions,,,Taxes Paid Deductions,,,Alternative Minimum Tax,,Income Tax Before Credits,,Total Tax,,Earned Income Credit,,Paid Preparer
ZIP Code  & ,,Total,Dependent Exemptions,,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Adjusted gross income,Amount,Number of returns,Adjusted gross income,Amount,Number of returns,Adjusted gross income,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns
Size of Adjusted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gross Income,(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),(13),(14),(15),(16),(17),(18),(19),(20),(21),(22),(23),(24),(25),(26),(27),(28),(29),(30),(31),(32),(33),(34),(35),(36),(37),(38)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,"2,860,825","5,865,799","1,794,371","166,580,039","2,412,365","114,046,697","1,368,475","3,528,026","748,124","3,862,773","651,545","14,886,748","403,776","5,996,877","23,232","-157,511","73,677","264,541","27,138","415,068","1,067,582","109,369,624","22,529,755","899,373","98,569,012","3,435,488","1,063,234","107,890,387","5,925,136","47,972","187,582","2,337,779","22,076,820","2,234,434","22,075,876","346,390","585,289","1,422,842"
"Under $10,000        ","463,557","618,257","110,475","781,164","354,503","2,025,446","129,607","141,509","72,944","97,424","66,985","83,795","56,082","-1,996","3,225","-53,108","1,014","2,624",159,541,"19,600","115,092","290,389","11,676","73,232","12,694","28,077","-754,009","96,866",45,180,"104,547","17,741","142,225","57,463","125,052","132,291","200,642"
"$10,000 under $25,000","624,608","1,058,423","311,739","10,797,481","501,894","8,307,868","186,488","268,541","86,702","167,472","71,567","79,939","67,402","506,464","3,288","-14,483","8,199","21,032",550,"2,264","78,966","1,433,695","1,156,441","55,393","1,008,620","95,587","75,924","1,372,719","216,209",201,138,"483,015","405,017","434,899","450,227","153,744","383,611","314,298"
"$25,000 under $50,000","723,918","1,450,297","469,244","26,333,926","627,719","21,370,884","295,107","410,562","135,664","295,839","112,877","235,427","89,002","826,359","5,201","-25,671","22,310","69,350","2,914","16,730","230,077","8,843,020","3,449,336","176,502","6,813,482","323,298","225,246","8,662,682","767,376",70,44,"704,321","1,924,779","625,144","1,834,415","67,594","69,387","355,615"
"$50,000 under $75,000","436,578","1,052,568","341,655","26,896,739","385,156","21,389,616","262,865","396,878","131,794","329,731","109,529","383,926","70,308","788,922","4,826","-24,955","16,888","58,769","3,759","28,165","253,654","15,805,360","4,381,197","212,422","13,266,666","471,206","250,870","15,632,258","1,075,055","1,040","1,158","434,610","2,560,615","422,491","2,434,427",0,0,"219,477"
"$75,000 under 100,000","266,066","715,259","235,126","22,980,060","239,200","18,266,590","193,193","322,911","108,052","290,331","90,743","503,249","46,688","675,417","2,785","-14,436","10,216","38,930","3,161","29,749","193,558","16,789,992","3,835,397","171,495","14,896,076","461,315","192,312","16,683,361","1,010,033","1,314","1,690","265,541","2,475,981","264,178","2,401,416",0,0,"130,172"
"$100,000 or more     ","346,098","970,995","326,132","78,790,669","303,893","42,686,293","301,215","1,987,625","212,968","2,681,976","199,844","13,600,412","74,294","3,201,711","3,907","-24,858","15,050","73,836","16,595","337,619","291,727","66,382,465","9,416,995","271,885","62,510,936","2,071,388","290,805","66,293,376","2,759,597","45,302","184,372","345,745","14,692,687","345,497","14,897,928",0,0,"202,638"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98001,"13,196","28,988","9,738","710,656","11,635","567,427","6,102","7,821","2,860","5,180","2,321","22,097","2,001","23,309",22,-25,301,"1,073",84,"1,010","6,027","485,752","116,115","5,110","433,319","13,995","5,981","480,479","29,916",129,352,"10,992","81,728","10,648","80,567","1,419","2,486","6,566"
"Under $10,000        ","1,943","2,520",421,"5,899","1,567","8,522",452,341,194,139,201,299,257,270,12,7,*         ,*              ,0,0,82,484,"1,136",43,259,43,99,"-1,039",280,0,0,477,88,649,246,445,496,805
"$10,000 under $25,000","2,462","4,312","1,356","42,662","1,983","33,125",641,609,250,387,177,51,377,"3,537",0,0,31,79,*         ,*              ,375,"7,061","5,727",246,"4,743",470,365,"6,882","1,144",*         ,*              ,"1,863","1,598","1,783","1,978",632,"1,629","1,273"
"$25,000 under $50,000","3,301","6,979","2,540","121,363","2,939","101,547","1,235","1,183",500,720,398,781,466,"4,898",*         ,*              ,86,247,14,52,"1,335","51,982","21,070","1,045","41,000","1,701","1,309","51,001","4,925",0,0,"3,175","8,439","2,831","7,973",342,361,"1,724"
"$50,000 under $75,000","2,403","6,253","2,281","148,729","2,218","127,193","1,410","1,018",583,640,435,699,398,"4,067",0,0,72,234,16,69,"1,669","104,477","29,502","1,425","89,576","3,011","1,654","103,539","7,279",18,24,"2,393","13,441","2,305","12,494",0,0,"1,226"
"$75,000 under $100,000","1,497","4,293","1,532","129,520","1,432","111,865","1,034",987,523,810,395,"1,770",234,"2,808",10,-32,47,174,14,130,"1,181","102,414","23,543","1,062","92,107","2,594","1,174","101,845","6,370",*         ,*              ,"1,495","13,510","1,492","12,754",0,0,696
"$100,000 or more     ","1,590","4,631","1,608","262,483","1,496","185,175","1,330","3,683",810,"2,484",715,"18,497",269,"7,729",*         ,*              ,65,339,40,759,"1,385","219,334","35,137","1,289","205,634","6,176","1,380","218,251","9,918",111,328,"1,589","44,652","1,588","45,122",0,0,842
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,               ,          ,               ,               ,          ,               ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          
98002,"12,731","25,090","8,292","473,145","11,021","371,120","4,065","7,022","1,820","3,887","1,363","13,262","1,215","10,339",*         ,*              ,163,566,26,332,"3,252","212,393","52,576","2,654","182,805","6,228","3,203","209,501","12,270",44,101,"10,159","45,131","9,415","43,543","2,234","3,910","6,893"
"Under $10,000        ","2,036","3,024",806,"9,922","1,657","8,953",355,334,144,120,118,-114,199,-32,0,0,*         ,*              ,0,0,53,337,728,34,212,29,65,11,183,0,0,366,48,503,153,790,945,"1,003"
