WASHINGTON           ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Individual Income Tax Returns: Selected Income and Tax Items by State, ZIP Code and Size of Adjusted Gross Income, Tax Year 2008                                                                                                                                                                                                                                                                                                                                                                                                                            ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(Money amounts are in thousands),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
* indicates that the value in the cell has been suppressed to avoid disclosure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source:  IRS Individual Master File, Statistics of Income, June 2011",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Size of Adjusted Gross Income,Zip Code,Number of returns,Number of joint returns,Number with paid preparer's signature,Number of exemptions,Number of dependents,Adjusted gross income (AGI),Salaries and wages in AGI,Taxable Interest,Ordinary Dividends,Business or profession net income (less loss),Net capital gain (less loss) in AGI,Taxable Individual Retirement Arrangement distributions,Pensions and annuities in AGI,Unemployment compensation in AGI,Social Security benefits in AGI,Self-employment retirement plans,Total itemized deductions,State and Local Income taxes,State and local general sales taxes,Real estate taxes,Taxes paid,Mortgage Interest paid,Contributions,Taxable income,Total tax credits,Residential Energy Credit,Child tax credit,Child and dependent care credit,Earned income credit,Excess earned income credit (refundable),Alternative minimum tax,Income tax,Total tax liability,Tax due at time of filing,Overpayments refunded,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),(13),(14),(15),(16),(17),(18),(19),(20),(21),(22),(23),(24),(25),(26),(27),(28),(29),(30),(31),(32),(33),(34),(35),
,00000," 3,089,048 "," 1,261,838 "," 1,403,350 "," 6,080,856 "," 1,029,938 "," 191,774,705 "," 136,818,413 "," 4,831,004 "," 5,093,043 "," 5,802,582 "," 9,154,608 "," 3,789,877 "," 11,413,539 "," 965,722 "," 4,038,576 "," 360,784 "," 28,346,054 "," 747,867 "," 1,796,933 "," 3,932,809 "," 6,707,791 "," 13,724,473 "," 3,341,742 "," 132,853,423 "," 1,153,198 ", 526 ," 689,516 "," 59,421 "," 706,877 "," 623,007 "," 230,942 "," 23,613,347 "," 24,775,566 "," 2,166,889 "," (6,901,612)",
"Under $10,000",00000," 485,438 "," 49,473 "," 182,737 "," 487,732 "," 66,518 "," 1,658,911 "," 2,262,670 "," 244,285 "," 145,748 "," (103,085)"," 80,540 "," 81,307 "," 198,995 "," 37,892 ", -   , 256 ," 916,276 "," 6,992 "," 15,988 "," 121,536 "," 158,049 "," 410,260 "," 12,394 "," 129,260 ", 279 , -   , -   , -   ," 133,221 "," 118,560 ", 9 ," 13,180 "," 59,563 "," 17,894 "," (385,691)",
"$10,000 under $25,000",00000," 615,741 "," 107,328 "," 273,225 "," 1,016,308 "," 179,072 "," 10,702,880 "," 8,300,610 "," 314,887 "," 186,734 "," 526,091 "," 6,360 "," 239,899 "," 1,058,218 "," 199,804 "," 52,117 "," 1,250 "," 1,246,649 "," 10,563 "," 43,158 "," 154,859 "," 217,554 "," 501,583 "," 79,489 "," 3,242,035 "," 48,085 ", -   ," 18,349 "," 2,582 "," 443,608 "," 399,204 ", 103 ," 303,992 "," 405,782 "," 50,118 "," (1,095,320)",
"$25,000 under $50,000",00000," 758,777 "," 230,374 "," 337,986 "," 1,474,045 "," 251,653 "," 27,632,931 "," 22,463,467 "," 533,502 "," 337,185 "," 794,772 "," 59,020 "," 496,033 "," 2,172,499 "," 321,851 "," 665,212 "," 9,380 "," 3,550,560 "," 47,165 "," 172,589 "," 472,608 "," 716,490 "," 1,756,654 "," 264,548 "," 14,953,795 "," 246,017 ", 26 ," 174,597 "," 14,433 "," 130,049 "," 105,244 "," 1,243 "," 1,653,456 "," 1,822,251 "," 134,299 "," (1,510,552)",
"$50,000 under $75,000",00000," 464,234 "," 253,914 "," 218,658 "," 1,046,922 "," 173,714 "," 28,622,523 "," 22,575,679 "," 565,895 "," 417,874 "," 716,199 "," 119,992 "," 618,873 "," 2,374,866 "," 192,654 "," 1,128,454 "," 17,006 "," 4,743,626 "," 84,159 "," 280,383 "," 640,459 "," 1,035,534 "," 2,501,331 "," 408,349 "," 18,197,632 "," 266,485 ", 167 ," 212,532 "," 11,287 ", -   , -   , 646 ," 2,367,095 "," 2,521,509 "," 174,573 "," (1,118,408)",
"$75,000 under $100,000",00000," 305,104 "," 227,208 "," 143,759 "," 777,089 "," 131,686 "," 26,407,098 "," 20,894,922 "," 496,204 "," 378,055 "," 627,685 "," 178,018 "," 642,701 "," 2,024,095 "," 106,427 "," 926,896 "," 16,897 "," 4,602,381 "," 96,601 "," 303,347 "," 637,674 "," 1,069,166 "," 2,472,938 "," 447,235 "," 18,054,917 "," 228,979 ", 85 ," 170,264 "," 11,129 ", -   , -   , 590 ," 2,493,648 "," 2,629,159 "," 156,041 "," (870,062)",
"$100,000 under $200,000",00000," 362,225 "," 308,754 "," 178,474 "," 997,353 "," 176,803 "," 48,140,880 "," 37,811,493 "," 946,086 "," 897,495 "," 1,505,134 "," 796,798 "," 1,148,374 "," 2,799,246 "," 98,246 "," 982,738 "," 111,020 "," 8,125,415 "," 207,597 "," 620,368 "," 1,198,307 "," 2,074,428 "," 4,297,643 "," 937,537 "," 35,769,758 "," 182,721 ", 233 ," 113,775 "," 16,347 ", -   , -   ," 19,399 "," 6,255,684 "," 6,536,686 "," 489,439 "," (1,171,796)",
