WASHINGTON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Individual Income Tax Returns: 
Selected Income and Tax Items by State, 
ZIP Code, and Size of Adjusted Gross Income, 
Tax Year 2010                                                                                                                                                                                                                                                                                                                                                                                                            ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[Money amounts are in thousands of dollars],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ZIP
code [1]",Size of adjusted gross income,Number of returns,Number of joint returns,Number with paid preparer's signature,Number of exemptions,Number of dependents,Adjusted gross income (AGI),Salaries and wages in AGI,,Taxable interest,,Ordinary dividends,,Qualified dividends [2],,"Business or profession
net income (less loss)",,"Number of 
farm returns",Net capital gain (less loss) in AGI,,"Taxable individual retirement
arrangement distributions",,Pensions and annuities in AGI,,Unemployment compensation [3],,Social Security benefits in AGI,,Self-employment retirement plans,,Total itemized deductions,,State and local income taxes,,State and local general sales taxes,,Real estate taxes,,Taxes paid,,Mortgage interest paid,,Contributions,,Taxable income,,Total tax credits,,Residential energy credit,,Child tax credit,,Child and dependent care credit,,Additional child tax credit,,Earned income credit [4],,"Excess earned income 
credit (refundable) [5]",,Alternative minimum tax,,Income tax [6],,Total tax liability [7],,Tax due at time of filing [8],,Overpayments refunded [9],
,,,,,,,,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount
,,(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),(13),(14),(15),(16),(17),(18),(19),(20),(21),(22),(23),(24),(25),(26),(27),(28),(29),(30),(31),(32),(33),(34),(35),(36),(37),(38),(39),(40),(41),(42),(43),(44),(45),(46),(47),(48),(49),(50),(51),(52),(53),(54),(55),(56),(57),(58),(59),(60),(61),(62),(63),(64),(65),(66),(67),(68),(69)
00000,Total,"3,045,219","1,262,333","1,360,504","6,189,815","1,866,468","191,027,502","2,541,363","135,954,637","1,331,485","2,867,100","683,677","4,359,067","609,956","3,219,095","403,692","6,231,695","20,964","529,114","7,176,694","281,559","4,750,429","565,680","12,396,138","384,260","3,619,570","375,750","4,615,723","19,618","365,381","1,107,675","26,412,210","66,936","476,532","931,946","1,998,812","1,029,415","3,973,456","1,095,624","6,558,022","938,956","11,853,534","871,778","3,497,964","2,453,859","131,044,475","1,037,519","1,398,680","124,215","110,441","524,826","660,476","112,269","57,722","357,427","493,604","431,889","852,443","372,472","752,089","56,866","271,346","2,200,737","23,216,787","2,322,832","24,158,488","545,738","2,292,921","2,407,702","7,947,755"
00000,"$1 under $25,000",1061349,153333,432540,1573690,416388,13424000,816564,9827153,263802,284684,119265,242113,102679,126626,117221,786298,3958,91598,-36273,60267,351658,135109,1278752,127649,983867,42077,71042,672,3432,95809,1632468,2943,5172,76829,84700,76476,225708,91572,325244,60511,553924,58597,99964,509694,3168276,145334,53586,3772,1567,43858,15140,7662,2399,203802,251073,303584,639373,268956,575692,348,434,410301,286357,495647,427334,103078,63182,876452,1654527
00000,"$25,000 under $50,000",752508,236938,328833,1504690,461537,27347989,636072,21110803,265472,325715,109288,286304,95447,162644,84064,853587,4108,83099,33539,61531,570013,131372,2307957,118752,1261262,115710,732562,1359,9516,196313,3284007,9380,18469,159995,197207,173837,490951,192597,728664,155908,1448239,133547,267952,717459,14403689,296326,262698,20805,14490,171655,162675,25099,13069,128033,205962,128305,213070,103516,176397,879,1161,593555,1543382,622008,1717512,108863,151079,637841,1625184
00000,"$50,000 under $75,000",456205,247096,211097,1027517,311926,28172203,393638,21630847,239383,326079,109637,335990,96579,196748,64877,725064,3977,80838,94058,53566,702342,106565,2523862,65323,632797,87494,1236542,1901,17045,230841,4347079,13408,39873,191847,299701,214653,646700,228641,1014088,199263,2095461,173756,410234,452963,18046111,202121,293575,27565,22247,128599,203854,20179,10238,22269,31828,0,0,0,0,653,1063,428554,2296759,435216,2452266,96017,200823,358514,1089112
00000,"$75,000 under $100,000",302000,221532,140449,762362,234902,26182472,266693,20290930,191758,280212,99162,309209,88264,196477,48059,645441,3240,71575,151348,41142,746197,78514,2183042,36591,361570,58439,1079189,2030,21398,197173,4217094,12654,49813,166861,329634,188147,637674,196137,1042171,176608,2119500,160270,447667,301262,18124904,151386,246665,24774,21713,95931,163465,19137,10351,2797,4040,0,0,0,0,1062,2102,297338,2476195,298479,2612651,69974,189376,231265,826210
